income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Levelland ISD,27240,2020-2024,Texas,60864.0,10723.0,LEVELLAND ISD,110902,Spring 2026,899,754.0,83.87096774193549,78.93087542237316,4.940092319562325,EOC,About expected
Paris ISD,34290,2020-2024,Texas,46246.0,4128.0,PARIS ISD,139909,Spring 2026,1247,1015.0,81.3953488372093,76.59504893604706,4.800299901162234,EOC,About expected
Caddo Mills ISD,12390,2020-2024,Texas,107083.0,13870.0,CADDO MILLS ISD,116901,Spring 2026,1228,1118.0,91.04234527687296,86.3162608630289,4.726084413844063,EOC,About expected
Grapevine-Colleyville ISD,21660,2020-2024,Texas,117626.0,6703.0,GRAPEVINE-COLLEYVILLE ISD,220906,Spring 2026,5943,5508.0,92.68046441191318,88.00093856485788,4.679525847055302,EOC,About expected
Clear Creek ISD,14280,2020-2024,Texas,102389.0,2875.0,CLEAR CREEK ISD,084910,Spring 2026,16426,14820.0,90.22281748447584,85.56620137973333,4.656616104742511,EOC,About expected
Bushland ISD,35570,2020-2024,Texas,114535.0,12663.0,BUSHLAND ISD,188904,Spring 2026,573,528.0,92.14659685863874,87.50702423531663,4.63957262332211,EOC,About expected
Sinton ISD,40350,2020-2024,Texas,52984.0,10901.0,SINTON ISD,205906,Spring 2026,683,562.0,82.28404099560761,77.67172145382413,4.612319541783478,EOC,About expected
Brownwood ISD,11700,2020-2024,Texas,51765.0,8092.0,BROWNWOOD ISD,025902,Spring 2026,1138,934.0,82.0738137082601,77.47693608736967,4.596877620890439,EOC,About expected
Ponder ISD,35310,2020-2024,Texas,101603.0,15704.0,PONDER ISD,061906,Spring 2026,728,655.0,89.97252747252747,85.44060556510395,4.5319219074235235,EOC,About expected
Vidor ISD,44160,2020-2024,Texas,71507.0,6045.0,VIDOR ISD,181907,Spring 2026,1544,1314.0,85.10362694300518,80.63153223547815,4.4720947075270345,EOC,About expected
Robinson ISD,37410,2020-2024,Texas,108023.0,14875.0,ROBINSON ISD,161922,Spring 2026,947,860.0,90.8130939809926,86.46646450902333,4.34662947196928,EOC,About expected
Sweeny ISD,41970,2020-2024,Texas,74896.0,18561.0,SWEENY ISD,020906,Spring 2026,690,590.0,85.5072463768116,81.17306431662188,4.334182060189718,EOC,About expected
Raymondville ISD,36540,2020-2024,Texas,53978.0,10729.0,RAYMONDVILLE ISD,245903,Spring 2026,734,603.0,82.1525885558583,77.8305538199076,4.3220347359506945,EOC,About expected
Comal ISD,14730,2020-2024,Texas,110926.0,3282.0,COMAL ISD,046902,Spring 2026,12369,11287.0,91.25232435928532,86.93033810936569,4.321986249919632,EOC,About expected
Galena Park ISD,20250,2020-2024,Texas,57350.0,5533.0,GALENA PARK ISD,101910,Spring 2026,8365,6917.0,82.68977884040646,78.36936945213442,4.32040938827204,EOC,About expected
Groesbeck ISD,21810,2020-2024,Texas,61788.0,4016.0,GROESBECK ISD,147902,Spring 2026,541,451.0,83.3641404805915,79.07852241056342,4.285618070028079,EOC,About expected
Pine Tree ISD,34980,2020-2024,Texas,68743.0,3790.0,PINE TREE ISD,092904,Spring 2026,1700,1436.0,84.47058823529412,80.18986959980943,4.280718635484689,EOC,About expected
Belton ISD,9860,2020-2024,Texas,85617.0,4383.0,BELTON ISD,014903,Spring 2026,5594,4871.0,87.07543796925276,82.88618483652213,4.189253132730627,EOC,About expected
Allen ISD,7890,2020-2024,Texas,127415.0,8544.0,ALLEN ISD,043901,Spring 2026,8436,7909.0,93.7529634898056,89.5651337676658,4.187829722139796,EOC,About expected
Little Cypress-Mauriceville CISD,27690,2020-2024,Texas,78503.0,12030.0,LITTLE CYPRESS-MAURICEVILLE CISD,181908,Spring 2026,1301,1118.0,85.93389700230591,81.7494308603473,4.184466141958609,EOC,About expected
Granbury ISD,21390,2020-2024,Texas,88608.0,6507.0,GRANBURY ISD,111901,Spring 2026,3023,2646.0,87.52894475686405,83.36412005478738,4.164824702076672,EOC,About expected
Lampasas ISD,26640,2020-2024,Texas,80703.0,7640.0,LAMPASAS ISD,141901,Spring 2026,1409,1215.0,86.23136976579134,82.10097130841936,4.130398457371982,EOC,About expected
Crystal City ISD,15930,2020-2024,Texas,37417.0,9081.0,CRYSTAL CITY ISD,254901,Spring 2026,612,485.0,79.24836601307189,75.18425320148879,4.064112811583101,EOC,About expected
Gunter ISD,21960,2020-2024,Texas,133000.0,28089.0,GUNTER ISD,091917,Spring 2026,526,497.0,94.48669201520912,90.45756713243055,4.029124882778561,EOC,About expected
"Northside ISD (Bandera, Bexar, and Medina Counties)",33120,2020-2024,Texas,80406.0,1191.0,NORTHSIDE ISD,015915,Spring 2026,40269,34654.0,86.05627157366709,82.05351334792962,4.002758225737466,EOC,About expected
Cuero ISD,15960,2020-2024,Texas,65679.0,8344.0,CUERO ISD,062901,Spring 2026,767,642.0,83.70273794002607,79.7002696303127,4.002468309713365,EOC,About expected
Amarillo ISD,8130,2020-2024,Texas,60371.0,2660.0,AMARILLO ISD,188901,Spring 2026,10558,8747.0,82.84713013828376,78.85209840378246,3.9950317345012962,EOC,About expected
North East ISD,32940,2020-2024,Texas,79074.0,1581.0,NORTH EAST ISD,015910,Spring 2026,22817,19556.0,85.7080247184117,81.84067158573328,3.8673531326784314,EOC,About expected
Dickinson ISD,17070,2020-2024,Texas,83295.0,5974.0,DICKINSON ISD,084901,Spring 2026,4962,4278.0,86.21523579201936,82.51514987269336,3.700085919326,EOC,About expected
Joshua ISD,24930,2020-2024,Texas,94155.0,7917.0,JOSHUA ISD,126905,Spring 2026,2332,2051.0,87.95025728987993,84.25048135726726,3.699775932612667,EOC,About expected
Seminole ISD,39750,2020-2024,Texas,78443.0,9157.0,SEMINOLE ISD,083903,Spring 2026,1077,920.0,85.42246982358404,81.7398433935817,3.682626430002344,EOC,About expected
Fredericksburg ISD,19840,2020-2024,Texas,75388.0,7856.0,FREDERICKSBURG ISD,086901,Spring 2026,1326,1126.0,84.91704374057315,81.25168154409981,3.665362196473339,EOC,About expected
Aransas Pass ISD,8580,2020-2024,Texas,59583.0,6885.0,ARANSAS PASS ISD,205901,Spring 2026,573,472.0,82.37347294938918,78.72618300692757,3.6472899424616116,EOC,About expected
Montgomery ISD,31260,2020-2024,Texas,114127.0,13058.0,MONTGOMERY ISD,170903,Spring 2026,4158,3787.0,91.07744107744108,87.44182946131053,3.6356116161305465,EOC,About expected
Pharr-San Juan-Alamo ISD,34860,2020-2024,Texas,53932.0,3559.0,PHARR-SAN JUAN-ALAMO ISD,108909,Spring 2026,11596,9443.0,81.4332528458089,77.82320342872065,3.6100494170882484,EOC,About expected
Rains ISD,36360,2020-2024,Texas,66272.0,4534.0,RAINS ISD,190903,Spring 2026,582,485.0,83.33333333333334,79.7950257601794,3.5383075731539435,EOC,About expected
Kirbyville CISD,25710,2020-2024,Texas,61378.0,16535.0,KIRBYVILLE CISD,121905,Spring 2026,526,434.0,82.50950570342205,79.01300805433182,3.49649764909023,EOC,About expected
Borger ISD,10890,2020-2024,Texas,65614.0,9997.0,BORGER ISD,117901,Spring 2026,868,722.0,83.17972350230414,79.6898832079833,3.4898402943208424,EOC,About expected
Pearland ISD,34440,2020-2024,Texas,114890.0,5310.0,PEARLAND ISD,020908,Spring 2026,9141,8323.0,91.05130729679466,87.56375008034644,3.4875572164482236,EOC,About expected
Rusk ISD,38360,2020-2024,Texas,67303.0,9957.0,RUSK ISD,037907,Spring 2026,746,622.0,83.37801608579089,79.95977039743498,3.41824568835591,EOC,About expected
Barbers Hill ISD,9450,2020-2024,Texas,128353.0,14741.0,BARBERS HILL ISD,036902,Spring 2026,3051,2841.0,93.11701081612586,89.7150178314347,3.4019929846911623,EOC,About expected
Palacios ISD,34020,2020-2024,Texas,64922.0,7479.0,PALACIOS ISD,158905,Spring 2026,580,481.0,82.93103448275862,79.57930775795336,3.3517267248052605,EOC,About expected
Peaster ISD,34500,2020-2024,Texas,118199.0,18763.0,PEASTER ISD,184908,Spring 2026,592,541.0,91.38513513513512,88.09249887246938,3.292636262665738,EOC,About expected
Marion ISD,29100,2020-2024,Texas,84853.0,11833.0,MARION ISD,094904,Spring 2026,709,610.0,86.03667136812412,82.76410442637348,3.2725669417506396,EOC,About expected
El Campo ISD,18280,2020-2024,Texas,70550.0,8735.0,EL CAMPO ISD,241903,Spring 2026,1303,1091.0,83.7298541826554,80.4786121405668,3.251242042088606,EOC,About expected
Cypress-Fairbanks ISD,16110,2020-2024,Texas,92879.0,1658.0,CYPRESS-FAIRBANKS ISD,101907,Spring 2026,46907,40926.0,87.24923785362526,84.04658789738546,3.202649956239796,EOC,About expected
Tomball ISD,42960,2020-2024,Texas,128054.0,12381.0,TOMBALL ISD,101921,Spring 2026,9269,8603.0,92.8147588736649,89.66724028871946,3.147518584945445,EOC,About expected
Rockwall ISD,37650,2020-2024,Texas,128088.0,5657.0,ROCKWALL ISD,199901,Spring 2026,7609,7060.0,92.78486003417004,89.6726731865533,3.1121868476167407,EOC,About expected
Los Fresnos CISD,28290,2020-2024,Texas,69593.0,5023.0,LOS FRESNOS CISD,031906,Spring 2026,2723,2271.0,83.40066103562248,80.32569204565544,3.074968989967033,EOC,About expected
Deer Park ISD,16530,2020-2024,Texas,91636.0,7014.0,DEER PARK ISD,101908,Spring 2026,5043,4383.0,86.9125520523498,83.84796754422474,3.0645845081250513,EOC,About expected
