gisjoin,year,state,district,district_code,median_household_income,income_moe
G48013590,2020-2024,Texas,Channelview ISD,13590,64681.0,7334.0
G48013620,2020-2024,Texas,Channing ISD,13620,71875.0,35786.0
G48013650,2020-2024,Texas,Chapel Hill ISD (Smith County),13650,72968.0,8386.0
G48013680,2020-2024,Texas,Chapel Hill ISD (Titus County),13680,107895.0,28910.0
G48013710,2020-2024,Texas,Charlotte ISD,13710,39464.0,20212.0
G48013740,2020-2024,Texas,Cherokee ISD,13740,46058.0,11250.0
G48013770,2020-2024,Texas,Chester ISD,13770,69762.0,9422.0
G48013800,2020-2024,Texas,Chico ISD,13800,87253.0,8827.0
G48013860,2020-2024,Texas,Childress ISD,13860,58750.0,16788.0
G48013890,2020-2024,Texas,Chillicothe ISD,13890,79375.0,34701.0
G48013920,2020-2024,Texas,Chilton ISD,13920,67120.0,14757.0
G48013960,2020-2024,Texas,China Spring ISD,13960,104931.0,9325.0
G48013980,2020-2024,Texas,Chireno ISD,13980,67226.0,12325.0
G48000012,2020-2024,Texas,Chisum ISD,12,105000.0,31854.0
G48014010,2020-2024,Texas,Christoval ISD,14010,83676.0,26531.0
G48014070,2020-2024,Texas,Cisco ISD,14070,60956.0,5097.0
G48014130,2020-2024,Texas,City View ISD,14130,54332.0,11991.0
G48014160,2020-2024,Texas,Clarendon ISD,14160,58719.0,11233.0
G48014190,2020-2024,Texas,Clarksville ISD,14190,39564.0,8200.0
G48014250,2020-2024,Texas,Claude ISD,14250,72188.0,12883.0
G48014280,2020-2024,Texas,Clear Creek ISD,14280,102389.0,2875.0
G48014310,2020-2024,Texas,Cleburne ISD,14310,72354.0,7731.0
G48014370,2020-2024,Texas,Cleveland ISD,14370,57146.0,8091.0
G48014400,2020-2024,Texas,Clifton ISD,14400,74107.0,5334.0
G48014430,2020-2024,Texas,Clint ISD,14430,55527.0,3786.0
G48014450,2020-2024,Texas,Clyde CISD,14450,78981.0,11435.0
G48014490,2020-2024,Texas,Coahoma ISD,14490,65128.0,21120.0
G48014520,2020-2024,Texas,Coldspring-Oakhurst CISD,14520,58972.0,7426.0
G48014550,2020-2024,Texas,Coleman ISD,14550,47386.0,11931.0
G48007350,2020-2024,Texas,College Station ISD,7350,54117.0,3269.0
G48014580,2020-2024,Texas,Collinsville ISD,14580,68418.0,13863.0
G48014600,2020-2024,Texas,Colmesneil ISD,14600,56591.0,12356.0
G48014640,2020-2024,Texas,Colorado ISD,14640,68934.0,14008.0
G48014670,2020-2024,Texas,Columbia-Brazoria ISD,14670,74550.0,7909.0
G48014700,2020-2024,Texas,Columbus ISD,14700,69875.0,17972.0
G48014730,2020-2024,Texas,Comal ISD,14730,110926.0,3282.0
G48014760,2020-2024,Texas,Comanche ISD,14760,57986.0,8809.0
G48014790,2020-2024,Texas,Comfort ISD,14790,101250.0,18104.0
G48014820,2020-2024,Texas,Commerce ISD,14820,56946.0,10069.0
G48014850,2020-2024,Texas,Community ISD,14850,111818.0,12450.0
G48014880,2020-2024,Texas,Como-Pickton CISD,14880,68098.0,19226.0
G48014920,2020-2024,Texas,Comstock ISD,14920,64583.0,28916.0
G48014970,2020-2024,Texas,Connally ISD,14970,56875.0,6972.0
G48015000,2020-2024,Texas,Conroe ISD,15000,98985.0,3188.0
G48015120,2020-2024,Texas,Coolidge ISD,15120,60274.0,6624.0
G48015150,2020-2024,Texas,Cooper ISD,15150,63861.0,9170.0
G48015210,2020-2024,Texas,Coppell ISD,15210,160589.0,10919.0
G48015240,2020-2024,Texas,Copperas Cove ISD,15240,73120.0,3572.0
G48015270,2020-2024,Texas,Corpus Christi ISD,15270,63920.0,1407.0
G48015300,2020-2024,Texas,Corrigan-Camden ISD,15300,49817.0,15606.0
G48015330,2020-2024,Texas,Corsicana ISD,15330,58698.0,4081.0
G48015360,2020-2024,Texas,Cotton Center ISD,15360,59107.0,9646.0
G48015400,2020-2024,Texas,Cotulla ISD,15400,54500.0,17134.0
G48015420,2020-2024,Texas,Coupland ISD,15420,100852.0,23417.0
G48015480,2020-2024,Texas,Covington ISD,15480,70556.0,19026.0
G48015510,2020-2024,Texas,Crandall ISD,15510,93644.0,6658.0
G48015540,2020-2024,Texas,Crane ISD,15540,62212.0,14766.0
G48015570,2020-2024,Texas,Cranfills Gap ISD,15570,74583.0,23383.0
G48015600,2020-2024,Texas,Crawford ISD,15600,109931.0,21920.0
G48015690,2020-2024,Texas,Crockett County Consolidated CSD,15690,81022.0,32122.0
G48015720,2020-2024,Texas,Crockett ISD,15720,46845.0,8502.0
G48015750,2020-2024,Texas,Crosby ISD,15750,91958.0,15955.0
G48000001,2020-2024,Texas,Crosbyton CISD,1,49135.0,15096.0
G48015810,2020-2024,Texas,Cross Plains ISD,15810,60179.0,16624.0
G48015840,2020-2024,Texas,Cross Roads ISD,15840,56473.0,19746.0
G48015870,2020-2024,Texas,Crowell ISD,15870,62188.0,25153.0
G48015910,2020-2024,Texas,Crowley ISD,15910,86560.0,3532.0
G48015930,2020-2024,Texas,Crystal City ISD,15930,37417.0,9081.0
G48015960,2020-2024,Texas,Cuero ISD,15960,65679.0,8344.0
G48015990,2020-2024,Texas,Culberson County-Allamoore ISD,15990,58537.0,25954.0
G48016020,2020-2024,Texas,Cumby Collegiate ISD,16020,82292.0,10403.0
G48016080,2020-2024,Texas,Cushing ISD,16080,66532.0,9617.0
G48016110,2020-2024,Texas,Cypress-Fairbanks ISD,16110,92879.0,1658.0
G48016140,2020-2024,Texas,D'Hanis ISD,16140,67898.0,20661.0
G48016180,2020-2024,Texas,Daingerfield-Lone Star ISD,16180,61852.0,6524.0
G48016200,2020-2024,Texas,Dalhart ISD,16200,71756.0,7308.0
G48016230,2020-2024,Texas,Dallas ISD,16230,70951.0,944.0
G48016260,2020-2024,Texas,Damon ISD,16260,80964.0,28482.0
G48016290,2020-2024,Texas,Danbury ISD,16290,107176.0,25749.0
G48016320,2020-2024,Texas,Darrouzett ISD,16320,79167.0,30963.0
G48016350,2020-2024,Texas,"Dawson ISD (Dawson, Lynn, and Terry Counties)",16350,51667.0,22105.0
G48016380,2020-2024,Texas,Dawson ISD (Hill and Navarro Counties),16380,64779.0,19220.0
G48016410,2020-2024,Texas,Dayton ISD,16410,83472.0,6783.0
G48016440,2020-2024,Texas,De Leon ISD,16440,56288.0,15850.0
G48016570,2020-2024,Texas,DeKalb ISD,16570,55464.0,12645.0
G48016860,2020-2024,Texas,DeSoto ISD,16860,83272.0,7669.0
G48016500,2020-2024,Texas,Decatur ISD,16500,94259.0,4907.0
G48016530,2020-2024,Texas,Deer Park ISD,16530,91636.0,7014.0
G48016620,2020-2024,Texas,Del Valle ISD,16620,79700.0,6324.0
G48016650,2020-2024,Texas,Dell City ISD,16650,52639.0,35598.0
G48016710,2020-2024,Texas,Denison ISD,16710,71506.0,3541.0
G48016740,2020-2024,Texas,Denton ISD,16740,90602.0,2853.0
G48016770,2020-2024,Texas,Denver City ISD,16770,90757.0,16248.0
G48016890,2020-2024,Texas,Detroit ISD,16890,80096.0,19180.0
G48016920,2020-2024,Texas,Devers ISD,16920,77768.0,13253.0
G48016950,2020-2024,Texas,Devine ISD,16950,61544.0,9548.0
G48016980,2020-2024,Texas,Dew ISD,16980,68906.0,28637.0
G48017010,2020-2024,Texas,Deweyville ISD,17010,64563.0,37881.0
G48017040,2020-2024,Texas,Diboll ISD,17040,61559.0,9202.0
G48017070,2020-2024,Texas,Dickinson ISD,17070,83295.0,5974.0
G48017100,2020-2024,Texas,Dilley ISD,17100,56354.0,23533.0
G48017130,2020-2024,Texas,Dime Box ISD,17130,61250.0,13885.0
G48017160,2020-2024,Texas,Dimmitt ISD,17160,57532.0,22053.0
G48017190,2020-2024,Texas,Divide ISD,17190,87083.0,43997.0
G48017280,2020-2024,Texas,Dodd City ISD,17280,102125.0,28166.0
G48017390,2020-2024,Texas,Donna ISD,17390,43627.0,4301.0
G48017400,2020-2024,Texas,Doss Consolidated CSD,17400,98523.0,22207.0
G48017460,2020-2024,Texas,Douglass ISD,17460,79948.0,17300.0
G48000008,2020-2024,Texas,Dripping Springs ISD,8,169874.0,15997.0
G48017550,2020-2024,Texas,Driscoll ISD,17550,,
G48017580,2020-2024,Texas,Dublin ISD,17580,66344.0,18030.0
G48017610,2020-2024,Texas,Dumas ISD,17610,61618.0,4735.0
G48017640,2020-2024,Texas,Duncanville ISD,17640,72230.0,3318.0
G48017700,2020-2024,Texas,Eagle Mountain-Saginaw ISD,17700,101650.0,5510.0
G48017730,2020-2024,Texas,Eagle Pass ISD,17730,49568.0,4673.0
G48017760,2020-2024,Texas,Eanes ISD,17760,195329.0,13185.0
G48017790,2020-2024,Texas,Early ISD,17790,77661.0,19935.0
G48017830,2020-2024,Texas,East Bernard ISD,17830,96250.0,24123.0
G48017850,2020-2024,Texas,East Central ISD,17850,80803.0,6282.0
G48017880,2020-2024,Texas,East Chambers ISD,17880,77331.0,16038.0
G48017960,2020-2024,Texas,Eastland ISD,17960,56948.0,14498.0
G48018000,2020-2024,Texas,Ector County ISD,18000,71536.0,3707.0
G48018030,2020-2024,Texas,Ector ISD,18030,78203.0,11351.0
G48018060,2020-2024,Texas,Edcouch-Elsa ISD,18060,38770.0,8070.0
G48018070,2020-2024,Texas,Eden CISD,18070,67216.0,21471.0
G48018150,2020-2024,Texas,Edgewood ISD (Bexar County),18150,42055.0,1987.0
G48018120,2020-2024,Texas,Edgewood ISD (Van Zandt County),18120,78995.0,10569.0
G48018180,2020-2024,Texas,Edinburg CISD,18180,58501.0,3250.0
G48018210,2020-2024,Texas,Edna ISD,18210,63014.0,6974.0
G48018280,2020-2024,Texas,El Campo ISD,18280,70550.0,8735.0
G48018300,2020-2024,Texas,El Paso ISD,18300,54425.0,1950.0
G48018330,2020-2024,Texas,Electra ISD,18330,69356.0,14510.0
G48018360,2020-2024,Texas,Elgin ISD,18360,90375.0,11216.0
G48018390,2020-2024,Texas,Elkhart ISD,18390,70759.0,6212.0
G48018480,2020-2024,Texas,Elysian Fields ISD,18480,73750.0,21263.0
G48018540,2020-2024,Texas,Ennis ISD,18540,77169.0,6319.0
G48018600,2020-2024,Texas,Era ISD,18600,87639.0,18967.0
G48018690,2020-2024,Texas,Eula ISD,18690,74405.0,15591.0
G48018720,2020-2024,Texas,Eustace ISD,18720,59936.0,11793.0
G48018750,2020-2024,Texas,Evadale ISD,18750,49966.0,23190.0
G48018780,2020-2024,Texas,Evant ISD,18780,76447.0,8328.0
G48018810,2020-2024,Texas,Everman ISD,18810,75317.0,5528.0
G48018840,2020-2024,Texas,Excelsior ISD,18840,57850.0,25302.0
G48018890,2020-2024,Texas,Ezzell ISD,18890,55809.0,13712.0
G48018900,2020-2024,Texas,Fabens ISD,18900,43367.0,16273.0
G48018940,2020-2024,Texas,Fairfield ISD,18940,59727.0,7759.0
G48019020,2020-2024,Texas,Falls City ISD,19020,89677.0,20464.0
G48019050,2020-2024,Texas,Fannindel ISD,19050,64286.0,21941.0
G48019080,2020-2024,Texas,Farmersville ISD,19080,90154.0,16207.0
G48019110,2020-2024,Texas,Farwell ISD,19110,68889.0,13658.0
G48019140,2020-2024,Texas,Fayetteville ISD,19140,87907.0,10338.0
G48019170,2020-2024,Texas,Ferris ISD,19170,81786.0,20382.0
G48019280,2020-2024,Texas,Flatonia ISD,19280,75764.0,14291.0
G48019320,2020-2024,Texas,Florence ISD,19320,90000.0,13338.0
G48019350,2020-2024,Texas,Floresville ISD,19350,89880.0,7094.0
G48019380,2020-2024,Texas,Flour Bluff ISD,19380,92182.0,8117.0
G48019440,2020-2024,Texas,Floydada Collegiate ISD,19440,53315.0,13377.0
G48019500,2020-2024,Texas,Follett ISD,19500,86250.0,14127.0
G48019530,2020-2024,Texas,Forestburg ISD,19530,91094.0,14833.0
G48019560,2020-2024,Texas,Forney ISD,19560,104853.0,5897.0
G48019620,2020-2024,Texas,Forsan ISD,19620,91508.0,13939.0
G48019650,2020-2024,Texas,Fort Bend ISD,19650,105638.0,3226.0
G48020100,2020-2024,Texas,Fort Davis ISD,20100,73098.0,32516.0
G48011400,2020-2024,Texas,Fort Elliott CISD,11400,94250.0,35016.0
G48020130,2020-2024,Texas,Fort Hancock ISD,20130,45000.0,15946.0
G48020160,2020-2024,Texas,Fort Sam Houston ISD,20160,100662.0,21360.0
G48020190,2020-2024,Texas,Fort Stockton ISD,20190,79028.0,11019.0
G48019700,2020-2024,Texas,Fort Worth ISD,19700,65742.0,1341.0
G48019740,2020-2024,Texas,Franklin ISD,19740,101875.0,18250.0
G48019770,2020-2024,Texas,Frankston ISD,19770,72234.0,15445.0
G48019840,2020-2024,Texas,Fredericksburg ISD,19840,75388.0,7856.0
G48019820,2020-2024,Texas,Freer ISD,19820,73750.0,36895.0
G48019830,2020-2024,Texas,Frenship ISD,19830,77793.0,3734.0
G48019950,2020-2024,Texas,Friendswood ISD,19950,149590.0,9820.0
G48019980,2020-2024,Texas,Friona ISD,19980,72500.0,17213.0
G48020010,2020-2024,Texas,Frisco ISD,20010,144206.0,2934.0
G48020040,2020-2024,Texas,Frost ISD,20040,83125.0,17826.0
G48020070,2020-2024,Texas,Fruitvale ISD,20070,60467.0,7182.0
G48020220,2020-2024,Texas,Gainesville ISD,20220,59464.0,3576.0
